"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Bonato L.","Bonato, Laura (57563222200)","57563222200","Only the mountains do not meet. Good practices for the recovery of local crops/cultures between tradition and innovation; [Soltanto le montagne non si incontrano1. Buone pratiche per il recupero di colture/culture locali fra tradizione e innovazione]","2021","Archivio Antropologico Mediterraneo","23","2","","","","","0","10.4000/AAM.4580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127686628&doi=10.4000%2fAAM.4580&partnerID=40&md5=4898fbf05b5c393ee29b88015732d563","In the last decades of the 20th century, the Alpine areas have witnessed a remarkable process of depopulation: The effects on the environment caused by the abandonment of agro-pastoral practices have extended beyond the local scale, changing the characteristics of the landscape and cultural traditions and transforming these areas into marginal lands. For some years now, however, there have been a number of projects throughout the Alps that are attempting to reintroduce different types of historically documented crops: For example, rye, a mountain cereal par excellence which, although not native to the Alps, was essential for food and everyday life until the 1950s. Its recovery, which is at once economic, cultural and touristic, plays a significant-and, in my opinion, fortifying-role in interaction, cooperation and exchanges between local communities and acts as a link between tradition and the present day. This example will be useful to show that the reintroduction of local and historically documented crops, if it revitalises the regional economy and at the same time protects the environment, will allow us to emphasise that investigating the Alpine space through the implementation of models of cultural and economic sustainability, emphasising the relational network and strengthening integration and behaviour through knowledge-learning-remembering, involves local communities in a more active role in society. © 2021, University of Palermo - Department of Culture and Societies. All rights reserved.","Biodiversity; Entrepreneurial culture; Local community; Revitalization; Sustainability","","Italian","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85127686628"
"Škarpich V.; Kubín M.; Galia T.; Ruman S.; Hradecký J.","Škarpich, Václav (53980549700); Kubín, Miroslav (57214623400); Galia, Tomáš (54790958100); Ruman, Stanislav (56505492500); Hradecký, Jan (56614333100)","53980549700; 57214623400; 54790958100; 56505492500; 56614333100","Impacts of gravel-bed rivers transformation on fluvial ecosystems and human society: Examples from the Czech flysch Carpathians","2018","E3S Web of Conferences","40","","02005","","","","3","10.1051/e3sconf/20184002005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053754699&doi=10.1051%2fe3sconf%2f20184002005&partnerID=40&md5=f48b1286857203c2d231c153df867169","In the last centuries, gravel-bed rivers in developed countries have undergone rapid changes in channel morphology. The most serious problems include channel transformation related to progressive channel narrowing, incision or bed sediment coarsening. The main reasons for transformations were connected to the human interventions, which affected water and sediment fluxes in the basins. This paper summarizes contemporary research activities focused on these negative effects of channel transformations in the Czech flysch Carpathian rivers (the Morávka, the Olše and the Ostravice draining the highest mountainous areas of the Beskydy Mts). As the result of channel transformations, progressive changes in fluvial ecosystem were observed. The initial phytosociological survey demonstrates a higher biodiversity in the floodplain along the preserved multi-thread river channel than along the deeply incised channel in the Morávka River basin. Our observations of aquatic communities demonstrated that the channel transformation connected with incision and coarsening of bed sediments negatively affected fish or lamprey populations in the studied rivers. Regulation, damming and incision of channels caused changes of hydrological regime linked with gradual drying of floodplain. Additionally, a large set of hydraulic structures, bridges or weirs were affected by undercutting and progressive destruction in the Ostravice, Olše and Morávka River basins, which is assigned to increased transport capacity of regulated channels together with decreased sediment supply from mountainous parts. © The Authors, published by EDP Sciences, 2018.","","","English","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85053754699"
"Jiménez-Sierra C.L.; Jiménez D.T.-O.; Matias-Palafox M.L.","Jiménez-Sierra, Cecilia Leonor (15725388800); Jiménez, Daniel Torres-Orozco (57207981280); Matias-Palafox, Ma Loraine (57194899051)","15725388800; 57207981280; 57194899051","Are current actions for conservation in mexico enough? A review of the proximate and ultimate threats","2018","Mexican Natural Resources Management and Biodiversity Conservation: Recent Case Studies","","","","53","71","18","1","10.1007/978-3-319-90584-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063421717&doi=10.1007%2f978-3-319-90584-6_2&partnerID=40&md5=ecc0735805b10fcc293fca5c3348805e","Mexico is a mega-diverse country with a high percentage of endemic and threatened species. Biodiversity conservation and the maintenance of ecosystems functions must be a national priority. In this chapter, we present some examples at Mexico environmental transformation or resource use strategies, which had constituted direct or indirect threats to species and ecosystems conservation. We highlight the importance of considering the socio-ecological system approach to prevent species’ loss, environmental deterioration and to ensure the well-being of human societies. © Springer International Publishing AG, part of Springer Nature 2018.","Extinction risk; Extinction vortex; Habitat loss; Invasive species; Socioecological systems","","English","Book chapter","Final","","Scopus","2-s2.0-85063421717"
"Porzecanski A.L.; Sterling E.J.; Copsey J.A.; Appleton M.R.; Barborak J.R.; Bruyere B.L.; Bynum N.; Farmer K.H.; Finchum R.; Rakotobe D.; Stanoss R.B.; Valdés-Velásquez A.","Porzecanski, Ana L. (6506526344); Sterling, Eleanor J. (7003855330); Copsey, Jamieson A. (35304613200); Appleton, Michael R. (57198428546); Barborak, James R. (35120086400); Bruyere, Brett L. (20337011700); Bynum, Nora (55973744100); Farmer, Kay H. (7006159494); Finchum, Ryan (56152927100); Rakotobe, Domoina (57384248200); Stanoss, Ricardo B. (57200163735); Valdés-Velásquez, Armando (37023744700)","6506526344; 7003855330; 35304613200; 57198428546; 35120086400; 20337011700; 55973744100; 7006159494; 56152927100; 57384248200; 57200163735; 37023744700","A systems framework for planning and evaluating capacity development in conservation: recommendations for practitioners","2022","ORYX","56","5","","671","680","9","6","10.1017/S003060532100154X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124666472&doi=10.1017%2fS003060532100154X&partnerID=40&md5=0c6fde52ef62929c3406965cb512113e","Capacity development is increasingly recognized as central to conservation goals. Efforts to develop individual, organizational and societal capacity underpin direct investments in biodiversity conservation and natural resource management, and sustain their impact over time. In the face of urgent needs and increasingly complex contexts for conservation the sector not only needs more capacity development, it needs new approaches to capacity development. The sector is embracing the dynamic relationships between the ecological, political, social and economic dimensions of conservation. Capacity development practitioners should ensure that individuals, organizations and communities are prepared to work effectively in these complex environments of constant change to transform the systems that drive biodiversity loss and unsustainable, unequitable resource use. Here we advocate for a systems view of capacity development. We propose a conceptual framework that aligns capacity development components with all stages of conservation efforts, fosters attention to context, and coordinates with parallel efforts to engage across practitioners and sectors for more systemic impact. Furthermore, we highlight a need for practitioners to target, measure and support vital elements of capacity that have traditionally received less attention, such as values and motivation, leadership and organizational culture, and governance and participation by using approaches from psychology, the social sciences and systems thinking. Drawing from conservation and other sectors, we highlight examples of approaches that can support reflective practice, so capacity development practitioners can better understand the factors that favour or hinder effectiveness of interventions and influence system-wide change. Copyright © The Author(s), 2022. Published by Cambridge University Press on behalf of Fauna & Flora International.","Capacity development; conservation; evaluation; framework; leadership; learning loops; planning; systems","capacity building; conceptual framework; conservation; leadership; planning method","English","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85124666472"
"Quintero-Ángel M.; Quintero-Ángel A.; Mendoza-Salazar D.M.; Orjuela-Salazar S.","Quintero-Ángel, Mauricio (24167290400); Quintero-Ángel, Andrés (37011675300); Mendoza-Salazar, Diana M. (57493655300); Orjuela-Salazar, Sebastian (57411536400)","24167290400; 37011675300; 57493655300; 57411536400","Traditional Landscape Appropriation of Afro-Descendants and Collective Titling in the Colombian Pacific Region: Lessons for Transformative Change","2021","Fostering Transformative Change for Sustainability in the Context of Socio-Ecological Production Landscapes and Seascapes (SEPLS)","","","","175","193","18","0","10.1007/978-981-33-6761-6_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144693045&doi=10.1007%2f978-981-33-6761-6_10&partnerID=40&md5=8a229a33b59cd9cfd3a47cc67f89d761","The Colombian Pacific region is one of the most biodiverse areas in the world, but several anthropic pressures threaten its ecosystems and the ethnic groups who live there. Since the colonial era, the region has experienced two different key strategies of landscape appropriation: (1) diversification of activities in the landscape; and (2) specialisation focusing on a few landscape products. These two strategies fall at opposite ends of a modified continuum over time, including a range of intermediate situations that combine elements of the diversified and specialised strategies. The first strategy is characteristic of Afro-descendant communities, based on harmony with nature and favoring human well-being, while providing multiple ecosystem services and cultural or spiritual values. In this context, this chapter reviews the relationship of Afro-descendants with their environment in the Colombian Pacific region, taking as an example the San Marcos locality. Through interviews with key informants and participant observation, we investigate the productive and extractive practices in San Marcos. Results show that the appropriation strategy combines different sources of income. This denotes a great local ecological knowledge geared to maintenance of biodiversity. Despite Law 70 (1993) stipulating Afro-descendant communities to have guaranteed autonomy and the right to collectively manage their ancestral lands, this socioecological production landscape is endangered due to pressures from the dominant society towards conversion to a specialised strategy. Finally, we also analyse ""transformative change"" in the context of governance of San Marcos. Such change could guide a profound transformation in conservation strategies based on a fundamental reorientation of human values. © UNU-IAS 2021. This book is an open access publication.","Afro-descendants; Appropriation; Chocó biogeographic region; Collective titling; Land use; Land-use transitions","","English","Book chapter","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85144693045"
"Fallding M.","Fallding, Martin (9535547400)","9535547400","Planning for biodiversity: Can we do it better?","2004","Australian Planner","41","4","","45","50","5","16","10.1080/07293682.2004.9982389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-54349088267&doi=10.1080%2f07293682.2004.9982389&partnerID=40&md5=5b31478a5271219b014bfd2d659a73da","Loss of biodiversity is considered by many scientists to be Australia's single greatest environmental problem. Biodiversity is a fundamental part of the natural infrastructure underpinning our society and is of immense cultural and social value. Legislative requirements and community demands mean that planning for biodiversity is increasingly becoming a significant issue for development land use planning and natural resource management. A range of existing legislative planning and policy tools exist for guiding and regulating the development process and these tools have the potential to significantly affect biodiversity. Understanding biodiversity, assessing it, and integrating it within land use planning processes is a challenging and complex task. In many cases, loss of biodiversity is irreversible. Biodiversity planning involves more than just ensuring natural ecosystems are taken into account in development projects. It requires integrating science with land use planning, ensuring appropriate investment programs and ongoing management. This paper provides an overview of why biodiversity will remain a priority for land use planning and management, what tools are available for planners and approaches that might assist planners in using these tools. It focuses on local government and development planning and argues that effective planning for biodiversity requires a more informed understanding of biodiversity by planners and changes to current planning frameworks that support development and transformation of natural ecosystems. Issues which are essential for successful planning for biodiversity are discussed, including: Developing an appropriate planning and organisational framework for integrating biodiversity with other diverse planning issues: Ensuring decision-making processes reflect relevant planning scales and phases, and use scientific information effectively; and Identifying and communicating biodiversity values for planning purposes. Proposed improvements to current planning practice include prioritising planning objectives, presenting scientific data for planning purposes, specifying biodiversity planning principles, defining relevant terms, and using the concept of ecological planning settings. Examples are drawn from current practice including the Biodiversity Planning Guide for NSW Local Government and the Planning Framework for Natural Ecosystems - NSW Southern Tablelands and ACT. © 2004, Taylor & Francis Group, LLC.","","","English","Article","Final","","Scopus","2-s2.0-54349088267"
"van Leeuwen C.J.; Frijns J.; van Wezel A.; van de Ven F.H.M.","van Leeuwen, Cornelis J. (7007073766); Frijns, Jos (8124342200); van Wezel, Annemarie (7005643533); van de Ven, Frans H.M. (7006746402)","7007073766; 8124342200; 7005643533; 7006746402","City Blueprints: 24 Indicators to Assess the Sustainability of the Urban Water Cycle","2012","Water Resources Management","26","8","","2177","2197","20","115","10.1007/s11269-012-0009-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860884039&doi=10.1007%2fs11269-012-0009-1&partnerID=40&md5=e969c1bda8bcaaf65b0f26a42bf69487","Climate change, population growth and increased consumption, coupled with urbanization, are all placing increased pressure on water management. This global challenge can often best be addressed at the local level, e. g. in cities by optimizing the role of civil society. Although there are approaches for assessing the sustainability of countries and cities, there is no dedicated framework for the assessment of the sustainability of urban water management. We have therefore compiled a comprehensive list of indicators (the city blueprint) for this. The city blueprint is proposed as a first step towards gaining a better understanding and addressing the challenges of integrated urban water management (IUWM). City blueprints will enable the IUWM of cities to be compared, and stimulate the exchange of success stories (good practices) between cities to address the enormous IUWM challenges which lie ahead. The city blueprint provides a quick scan and baseline assessment. It comprises elements from a variety of methodologies, such as water footprint, urban metabolism and ecosystem services. The indicators have been subdivided into eight broad categories, i. e. (1) water security following the water footprint approach developed by Hoekstra and Chapagain (2007), (2) water quality, which includes surface water and groundwater, (3) drinking water, (4) sanitation, (5) infrastructure, (6) climate robustness, (7) biodiversity and attractiveness and (8) governance. Experience using city blueprints for the cities of Rotterdam, Maastricht and Venlo (in the Netherlands) have been included as practical examples. It was concluded that simplicity (ease of calculation and data availability), transparency and ease of communication makes the blueprint a valuable tool for policy makers, decision makers and resource managers as a first step in the process of understanding, envisioning, developing and implementing measures to transform the water management of cities. The best results are obtained when all the stakeholders are involved and connected right from the start. © 2012 Springer Science+Business Media B.V.","City blueprint; Climate change; Sustainability; Urban metabolism; Water footprint; Water management","Limburg [Netherlands]; Maastricht; Netherlands; Rotterdam; South Holland; Venlo; Biodiversity; Blueprints; Climate change; Decision making; Economic and social effects; Groundwater; Metabolism; Physiology; Population statistics; Surface waters; Sustainable development; Water management; Water quality; Baseline assessment; Civil society; Data availability; Decision makers; Ecosystem services; Good practices; Integrated urban water management; Maastricht; Netherlands; Policy makers; Population growth; Resource managers; Rotterdam; Urban water management; Urban waters; Water footprint; Water security; biodiversity; civil society; climate change; stakeholder; sustainable development; urban area; urban planning; urbanization; water management; Information management","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84860884039"
"Blumstein D.T.; Mennill D.J.; Clemins P.; Girod L.; Yao K.; Patricelli G.; Deppe J.L.; Krakauer A.H.; Clark C.; Cortopassi K.A.; Hanser S.F.; Mccowan B.; Ali A.M.; Kirschel A.N.G.","Blumstein, Daniel T. (7005561652); Mennill, Daniel J. (6603983826); Clemins, Patrick (6507459119); Girod, Lewis (16238799100); Yao, Kung (57203486984); Patricelli, Gail (6603650263); Deppe, Jill L. (23469352000); Krakauer, Alan H. (6507779371); Clark, Christopher (57198558387); Cortopassi, Kathryn A. (6602071998); Hanser, Sean F. (6603065551); Mccowan, Brenda (55892677300); Ali, Andreas M. (16238149500); Kirschel, Alexander N. G. (23995332300)","7005561652; 6603983826; 6507459119; 16238799100; 57203486984; 6603650263; 23469352000; 6507779371; 57198558387; 6602071998; 6603065551; 55892677300; 16238149500; 23995332300","Acoustic monitoring in terrestrial environments using microphone arrays: Applications, technological considerations and prospectus","2011","Journal of Applied Ecology","48","3","","758","767","9","423","10.1111/j.1365-2664.2011.01993.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955961451&doi=10.1111%2fj.1365-2664.2011.01993.x&partnerID=40&md5=0a61c43791f921fa5673b7d6f74d6754","1. Animals produce sounds for diverse biological functions such as defending territories, attracting mates, deterring predators, navigation, finding food and maintaining contact with members of their social group. Biologists can take advantage of these acoustic behaviours to gain valuable insights into the spatial and temporal scales over which individuals and populations interact. Advances in bioacoustic technology, including the development of autonomous cabled and wireless recording arrays, permit data collection at multiple locations over time. These systems are transforming the way we study individuals and populations of animals and are leading to significant advances in our understandings of the complex interactions between animals and their habitats. 2. Here, we review questions that can be addressed using bioacoustic approaches, by providing a primer on technologies and approaches used to study animals at multiple organizational levels by ecologists, behaviourists and conservation biologists. 3. Spatially dispersed groups of microphones (arrays) enable users to study signal directionality on a small scale or to locate animals and track their movements on a larger scale. 4. Advances in algorithm development can allow users to discriminate among species, sexes, age groups and individuals. 5. With such technology, users can remotely and non-invasively survey populations, describe the soundscape, quantify anthropogenic noise, study species interactions, gain new insights into the social dynamics of sound-producing animals and track the effects of factors such as climate change and habitat fragmentation on phenology and biodiversity. 6. There remain many challenges in the use of acoustic monitoring, including the difficulties in performing signal recognition across taxa. The bioacoustics community should focus on developing a common framework for signal recognition that allows for various species' data to be analysed by any recognition system supporting a set of common standards. 7. Synthesis and applications. Microphone arrays are increasingly used to remotely monitor acoustically active animals. We provide examples from a variety of taxa where acoustic arrays have been used for ecological, behavioural and conservation studies. We discuss the technologies used, the methodologies for automating signal recognition and some of the remaining challenges. We also make recommendations for using this technology to aid in wildlife management. © 2011 The Authors. Journal of Applied Ecology © 2011 British Ecological Society.","Anthropogenic noise; Bioacoustics; Biodiversity monitoring; Non-invasive sampling; Sensor networks","Animalia; acoustic array; algorithm; behavioral ecology; bioacoustics; communication behavior; conservation management; habitat fragmentation; noise; phenology; wildlife management","English","Review","Final","","Scopus","2-s2.0-79955961451"
"Leach M.; Rockström J.; Raskin P.; Scoones I.; Stirling A.C.; Smith A.; Thompson J.; Millstone E.; Ely A.; Arond E.; Folke C.; Olsson P.","Leach, Melissa (7201653088); Rockström, Johan (6603746245); Raskin, Paul (7101915296); Scoones, Ian (7003643020); Stirling, Andy C. (7005167329); Smith, Adrian (55740330500); Thompson, John (57204103149); Millstone, Erik (6701815178); Ely, Adrian (6507340706); Arond, Elisa (55324762500); Folke, Carl (7006090884); Olsson, Per (34572074500)","7201653088; 6603746245; 7101915296; 7003643020; 7005167329; 55740330500; 57204103149; 6701815178; 6507340706; 55324762500; 7006090884; 34572074500","Transforming innovation for sustainability","2012","Ecology and Society","17","2","","","","","290","10.5751/ES-04933-170211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864429099&doi=10.5751%2fES-04933-170211&partnerID=40&md5=5e39e7f2be2d9a989c801e2c1d5e2eab","The urgency of charting pathways to sustainability that keep human societies within a ""safe operating space"" has now been clarified. Crises in climate, food, biodiversity, and energy are already playing out across local and global scales and are set to increase as we approach critical thresholds. Drawing together recent work from the Stockholm Resilience Centre, the Tellus Institute, and the STEPS Centre, this commentary article argues that ambitious Sustainable Development Goals are now required along with major transformation, not only in policies and technologies, but in modes of innovation themselves, to meet them. As examples of dryland agriculture in East Africa and rural energy in Latin America illustrate, such ""transformative innovation"" needs to give far greater recognition and power to grassroots innovation actors and processes, involving them within an inclusive, multi-scale innovation politics. The three dimensions of direction, diversity, and distribution along with new forms of ""sustainability brokering"" can help guide the kinds of analysis and decision making now needed to safeguard our planet for current and future generations. © 2012 by the author(s).","Development goals; Grassroots; Planetary boundaries; Sustainability; Sustainable innovation","East Africa; Latin America; biodiversity; climate modeling; dryland farming; energy resource; food supplementation; grassroots level; innovation; local participation; rural energy; sustainability; sustainable development","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84864429099"
"Linnér B.-O.; Wibeck V.","Linnér, Björn-Ola (12143477900); Wibeck, Victoria (12761426500)","12143477900; 12761426500","Conceptualising variations in societal transformations towards sustainability","2020","Environmental Science and Policy","106","","","221","227","6","25","10.1016/j.envsci.2020.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079877341&doi=10.1016%2fj.envsci.2020.01.007&partnerID=40&md5=f5850c4d2703fbd6c9637d3a8ac35f90","Calls for societal transformations in response to climate change and unsustainable trajectories are surging in scientific journals, political proposals and news media. The multifaceted usages of the concept of transformation creates challenges for scientific assessments, such as those of the Intergovernmental Panel on Climate Change and the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, as well as for the implementation of the Paris Agreement process, the 2030 Agenda on Sustainable Development, the EU's long-term climate strategy, the European Green Deal, and other political decisions. In this paper, we suggest an analytical framework to differentiate between how sustainability transformations are made sense of in terms of system level, pace and scope. We distinguish between four general modes of transformations: quantum leap, convergent, emergent, and gradual approaches. We also discuss how they can be used to make sense of interventions to foster major sustainability transformations. We expand on three examples of interventions that were pertinent in our cross-country studies: technological innovations, transformative learning and the formulation of new narratives of sustainable societies. © 2020 The Authors","2030 Agenda; Conceptual framework; Decarbonisation; Governance; Paris Agreement; Sense-making; Societal transformations; Sustainable development; Transformations typology","article; conceptual framework; France; learning; narrative; organization; sustainable development","English","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85079877341"
"Görg C.; Brand U.","Görg, Christoph (7005598943); Brand, Ulrich (55587676600)","7005598943; 55587676600","Global environmental politics and competition between nation-states: On the regulation of biological diversity","2000","Review of International Political Economy","7","3","","371","398","27","35","10.1080/09692290050173999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034411506&doi=10.1080%2f09692290050173999&partnerID=40&md5=e74963a19bea6cd3f62211dfd0c2fd8f","Global environmental politics is often seen as an area where cooperation among nation-states can be improved and common and trans-border issues can be regulated. The article criticizes this view which tends to ignore the complex crisis of the relationships between societies and ongoing economic competition among nation-states. Therefore, the difference between intentional political control and the unintended stabilization of social contradictions (regulation, in the usage of the French regulation school) is shown, and used to analyse the broader context of the regulation of societal relationships with nature. For an adequate understanding of such a network of international regulation, however, one must carefully analyse the transformation of the nation-state within the process of capitalist globalization and its role in this network which goes beyond environmental regimes. Global biodiversity politics is an interesting example of such a network: it can be seen that capital interests in the use of genetic resources for the 'life science industry' is a driving force in this area of contention. National regulations, in the sense of intentional politics, constitute a necessary aspect of the process of creating stable conditions for the commodification and valorization of genetic resources. At the same time, environmental politics becomes part of global capitalist competition and regional and national competition.","Biodiversity; Environmental policy; International regulation; Regulation theory; Societal relationship with nature; State theory","","English","Article","Final","","Scopus","2-s2.0-0034411506"
"Delahaye P.","Delahaye, Pauline (57203409099)","57203409099","Exploring the nature and strength of the semiotic relation: A case study about liminal species in Tartu; [Semiootilise sideme olemuse ja tugevuse uurimine. Juhtumiuuring liminaalliikidest Tartus]; [Explorer la nature et la force de la relation sémiotique: étude de cas pour une espèce liminaire à Tartu]","2023","Sign Systems Studies","51","1","","114","127","13","1","10.12697/SSS.2023.51.1.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154005547&doi=10.12697%2fSSS.2023.51.1.05&partnerID=40&md5=f9c3d89c01015a740c76f18a1fda5546","The case study described in this paper is part of an emerging cultural context in both its scientific as well as societal aspects, where animals are seen more and more as social and ethical subjects and their presence in the vicinity of humans is seen less and less as a nuisance to be eradicated. It aims to understand the different aspects (material inconveniences, emotional relationships, symbolic value, biodiversity perception, etc.) that hold sway in the relationship between humans and other species in an environment still symbolically seen as separate from any natural process, containing very little biodiversity, and belonging exclusively to humans. This study aims to map out the shared urban ecosystem and show that many of the relationships, coexistence issues, and failures in urban management are connected to semiotic processes that can be transformed. One of the major results of this case study is the emergence of the concept of 'resistance of the semiotic relation': the fact that some semiotic relationships, especially symbolic ones, seem to resist any element or piece of evidence that could be proposed to contradict them. This concept postulates that not all semiotic relations have the same strength or the same resistance to exterior attempts to modify them, and that potential semiotic solutions proposed to improve semiotic relationships, for example in cohabitation situations, need to address this reality and the variety of resistance - or resilience - of different semiotic relations. © 2023 University of Tartu Press. All rights reserved.","biodiversity; citizen science; corvids; liminal species; zoosemiotics","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85154005547"
"Duperron S.","Duperron, Sébastien (23484743400)","23484743400","Microbial Symbioses","2016","Microbial Symbioses","","","","1","152","151","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032646145&partnerID=40&md5=f22e95db085e2123d4fa4b14f43e7ebf","Plants and animals have evolved ever since their appearance in a largely microbial world. Their own cells are less numerous than the microorganisms that they host and with whom they interact closely. The study of these interactions, termed microbial symbioses, has benefited from the development of new conceptual and technical tools. We are gaining an increasing understanding of the functioning, evolution and central importance of symbiosis in the biosphere. Since the origin of eukaryotic cells, microscopic organisms of our planet have integrated our very existence into their ways of life. The interaction between host and symbiont brings into question the notion of the individual and the traditional representation of the evolution of species, and the manipulation of symbioses facilitates fascinating new perspectives in biotechnology and health. Recent discoveries show that association is one of the main properties of organisms, making a more integrated view of biology necessary. Microbial Symbioses provides a deliberately ""symbiocentric? outlook, to exhibit how the exploration of microbial symbioses enriches our understanding of life, and the potential future for this discipline. Offers a concise summary of the most recent discoveries in the field. Shows how symbiosis is acquiring a central role in the biology of the 21st century by transforming our understanding of living things. Presents scientific issues, but also societal and economic related issues (biodiversity, biotechnology) through examples from all branches of the tree of life. © ISTE Press Ltd 2017. All rights reserved.","","","English","Book","Final","","Scopus","2-s2.0-85032646145"
"Fensham R.J.; Silcock J.L.; Firn J.","Fensham, R.J. (7003689075); Silcock, J.L. (36601372900); Firn, J. (23024415900)","7003689075; 36601372900; 23024415900","Managed livestock grazing is compatible with the maintenance of plant diversity in semidesert grasslands","2014","Ecological Applications","24","3","","503","517","14","29","10.1890/13-0492.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901607567&doi=10.1890%2f13-0492.1&partnerID=40&md5=d2ded8343b80892c2983c70c0a68b291","Even when no baseline data are available, the impacts of 150 years of livestock grazing on natural grasslands can be assessed using a combined approach of grazing manipulation and regional-scale assessment of the flora. Here, we demonstrate the efficacy of this method across 18 sites in the semidesert Mitchell grasslands of northeastern Australia. Fifteen-year-old exclosures (ungrazed and macropod grazed) revealed that the dominant perennial grasses in the genus Astrebla do not respond negatively to grazing disturbance typical of commercial pastoralism. Neutral, positive, intermediate, and negative responses to grazing disturbance were recorded amongst plant species with no single life-form group associated with any response type. Only one exotic species, Cenchrus ciliaris, was recorded at low frequency. The strongest negative response was from a native annual grass, Chionachne hubbardiana, an example of a species that is highly sensitive to grazing disturbance. Herbarium records revealed only scant evidence that species with a negative response to grazing have declined through the period of commercial pastoralism. A regional analysis identified 14 from a total of 433 plant species in the regional flora that may be rare and potentially threatened by grazing disturbance. However, a targeted survey precluded grazing as a cause of decline for seven of these based on low palatability and positive responses to grazing and other disturbance. Our findings suggest that livestock grazing of semidesert grasslands with a short evolutionary history of ungulate grazing has altered plant composition, but has not caused declines in the dominant perennial grasses or in species richness as predicted by the preceding literature. The biggest impact of commercial pastoralism is the spread of woody leguminous trees that can transform grassland to thorny shrubland. The conservation of plant biodiversity is largely compatible with commercial pastoralism provided these woody weeds are controlled, but reserves strategically positioned within water remote areas are necessary to protect grazing-sensitive species. This study demonstrates that a combination of experimental studies and regional surveys can be used to understand anthropogenic impacts on natural ecosystems where reference habitat is not available. © 2014 by the Ecological Society of America.","Exclosures; Grassland conservation; Grazing disturbance; Mitchell grassland; Resilience; Semidesert grassland; Species diversity","Animal Husbandry; Animals; Australia; Biodiversity; Climate; Environmental Monitoring; Livestock; Models, Biological; Models, Statistical; Multivariate Analysis; Plants; Population Dynamics; Australia; anthropogenic effect; community dynamics; community response; ecosystem resilience; environmental disturbance; exclusion experiment; grass; grassland; grazing management; invasive species; livestock farming; pastoralism; species diversity; species richness; animal; animal husbandry; article; Australia; biodiversity; biological model; classification; climate; environmental monitoring; livestock; multivariate analysis; plant; population dynamics; statistical model","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84901607567"
"Lawrence R.","Lawrence, Roderick (7201490675)","7201490675","Transdisciplinary responses to children's health challenges in the context of rapid urbanization","2019","Sustainability (Switzerland)","11","15","4097","","","","4","10.3390/su11154097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070443071&doi=10.3390%2fsu11154097&partnerID=40&md5=a16b753da09abdbebb62b46b126348c1","Urban transformations are complex, dynamic, and systemic societal phenomena that have many positive and negative consequences, including irreversible changes to land-use and loss of soil permeability, deforestation and accelerating losses of biodiversity, energy consumption and increasing volumes of green-house gas emissions, demographics and greater socio-economic inequalities, and accelerating incidences of non-communicable diseases. These omnipresent diseases (e.g., asthma, cancers, cardiovascular diseases, type 2 diabetes) have no cultural, geographical, or socio-economic boundaries and they impact all age groups including children and young adults. Local and national authorities North and South of the Equator, and international organizations and networks, have rarely responded effectively to children's health challenges in the context of rapid urban development. The purpose of this article is to describe and illustrate more effective approaches. It proposes new ideas, founded on collective thinking involving several disciplines and professions, and new working methods, founded on collaboration with community associations in civil society. Both promote shared understandings about the complex, dynamic, systemic, and emergent nature of urban health risks for children. The article explains why transdisciplinary contributions should be distinguished from multi- and inter-disciplinary contributions, and it presents examples of participatory action research in the WHO European region about children's health. © 2019 by the authors.","Children's health; European cities; Non-communicable diseases; Transdisciplinary contributions; Urban health risks","Europe; action research; biodiversity; child health; deforestation; health risk; interdisciplinary approach; socioeconomic conditions; urbanization","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85070443071"
